"File","Line","Snippet"
"bots/_archive/discord.SOS-20250829-005719/node_modules/.pnpm/zod@3.25.76/node_modules/zod/src/v4/mini/tests/string.test.ts","289","      ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c"""
"bots/_archive/discord.SOS-20250829-005719/node_modules/.pnpm/zod@3.25.76/node_modules/zod/src/v4/mini/tests/string.test.ts","292","    ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c"""
"bots/_archive/discord.SOS-20250829-005719/node_modules/dotenv/README-es.md","84","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----"
"bots/_archive/discord.SOS-20250829-005719/node_modules/dotenv/README-es.md","94","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----\nKh9NV...\n-----END RSA PRIVATE KEY-----\n"""
"bots/_archive/discord.SOS-20250829-005719/node_modules/dotenv/README.md","102","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----"
"bots/_archive/discord.SOS-20250829-005719/node_modules/dotenv/README.md","112","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----\nKh9NV...\n-----END RSA PRIVATE KEY-----\n"""
"bots/_archive/discord.SOS-20250829-005719/node_modules/zod/src/v4/mini/tests/string.test.ts","289","      ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c"""
"bots/_archive/discord.SOS-20250829-005719/node_modules/zod/src/v4/mini/tests/string.test.ts","292","    ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c"""
"bots/discord/node_modules/.pnpm/dotenv@16.6.1/node_modules/dotenv/README-es.md","84","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----"
"bots/discord/node_modules/.pnpm/dotenv@16.6.1/node_modules/dotenv/README-es.md","94","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----\nKh9NV...\n-----END RSA PRIVATE KEY-----\n"""
"bots/discord/node_modules/.pnpm/dotenv@16.6.1/node_modules/dotenv/README.md","102","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----"
"bots/discord/node_modules/.pnpm/dotenv@16.6.1/node_modules/dotenv/README.md","112","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----\nKh9NV...\n-----END RSA PRIVATE KEY-----\n"""
